DATE,COUNT
2023-11-07,170
2023-11-08,192
2023-11-09,177
2023-11-10,160
2023-11-11,172
2023-11-12,106
2023-11-13,145
2023-11-14,159
2023-11-15,141
2023-11-16,138
2023-11-17,174
2023-11-18,255
2023-11-19,346
2023-11-20,395
2023-11-21,205
2023-11-22,153
2023-11-23,156
2023-11-24,155
2023-11-25,159
2023-11-26,145
2023-11-27,119
2023-11-28,168
2023-11-29,148
2023-11-30,138
2023-12-01,193
2023-12-02,195
2023-12-03,113
2023-12-04,146
2023-12-05,142
2023-12-06,164
2023-12-07,163
2023-12-08,133
2023-12-09,172
2023-12-10,116
2023-12-11,149
2023-12-12,165
2023-12-13,182
2023-12-14,140
2023-12-15,138
2023-12-16,178
2023-12-17,164
2023-12-18,164
2023-12-19,126
2023-12-20,148
2023-12-21,170
2023-12-22,137
2023-12-23,131
2023-12-24,123
2023-12-25,0
2023-12-26,140
2023-12-27,133
2023-12-28,138
2023-12-29,128
2023-12-30,127
2023-12-31,122
